enjoy_course,ml_experience,major,class_attendance,university_years,lab1,lab2,lab3,lab4,quiz1,quiz2
yes,1,Computer Science,Excellent,3,92,93,84,91,92,A+
yes,1,Mechanical Engineering,Average,2,94,90,80,83,91,not A+
yes,0,Mathematics,Poor,3,78,85,83,80,80,not A+
no,0,Mathematics,Excellent,3,91,,92,91,89,A+
yes,0,Psychology,Good,4,77,83,90,92,85,A+
no,1,Economics,Good,5,70,73,68,74,71,not A+
yes,1,Computer Science,Excellent,4,80,88,89,88,91,A+
no,0,Mechanical Engineering,Poor,3,95,93,69,79,75,not A+
no,0,Linguistics,Average,2,97,90,94,82,80,not A+
yes,1,Mathematics,Average,4,95,82,94,94,85,not A+
yes,0,Psychology,Good,3,98,86,95,95,78,A+
yes,1,Physics,Average,1,95,88,93,92,85,A+
yes,1,Physics,Excellent,2,98,96,96,99,100,A+
yes,0,Mechanical Engineering,Excellent,4,95,94,96,95,100,A+
no,0,Mathematics,Poor,3,95,90,93,95,70,not A+
no,1,Computer Science,Good,3,92,85,67,94,92,not A+
yes,0,Computer Science,Average,5,75,91,93,86,85,A+
yes,1,Economics,Average,3,86,89,65,86,87,not A+
no,1,Biology,Good,2,91,,90,88,82,not A+
no,0,Psychology,Poor,2,77,94,87,81,89,not A+
yes,1,Linguistics,Excellent,4,96,92,92,96,87,A+