doc_id,text
1,famous fashion model
2,fashion model pattern 
3,fashion model probabilistic topic model conference
4,famous fashion model
5,fresh fashion model
6,famous fashion model
7,famous fashion model
8,famous fashion model
9,famous fashion model
10,creative fashion model
11,famous fashion model
12,famous fashion model
13,fashion model probabilistic topic model conference
14,probabilistic topic model
15,probabilistic model pattern
16,probabilistic topic model
17,probabilistic topic model
18,probabilistic topic model
19,probabilistic topic model
20,probabilistic topic model
21,probabilistic topic model
22,fashion model probabilistic topic model conference
23,apple kiwi nutrition
24,kiwi health nutrition
25,fresh apple health
26,probabilistic topic model
27,creative health nutrition
28,probabilistic topic model
29,probabilistic topic model
30,hidden markov model probabilistic
31,probabilistic topic model
32,probabilistic topic model
33,apple kiwi nutrition
34,apple kiwi health
35,apple kiwi nutrition
36,fresh kiwi health
37,apple kiwi nutrition
38,apple kiwi nutrition
39,apple kiwi nutrition